sku,name_en,name_cn,name_ar,sub_en,sub_cn,sub_ar,cat_en,cat_cn,cat_ar,desc_en,desc_cn,desc_ar,price,old_price,unit,sale,rating,reviews,sizes,colors,image,status
mj-prot-01,Disposable Protective Coverall (One-piece/Split),一次性CPE袍塑料围裙反穿式拇指袖扣防尘防水防护服工作服无尘,عباءة بلاستيكية CPE للاستخدام الواحد,Disposable Protective Coverall (One-piece/Split),一次性防护服（连体/分体）,,Protective Clothing & Surgical Gowns,防护服/手术衣类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-prot-01.webp,hidden
mj-prot-02,Disposable Surgical Gown,一次性手术衣独立包装无菌医用隔离衣布反穿式针织袖口,ثوب جراحي معقم للاستخدام الواحد,Disposable Surgical Gown,一次性手术衣,,Protective Clothing & Surgical Gowns,防护服/手术衣类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-prot-02.webp,hidden
mj-prot-03,Isolation Coverall,一次性洗手衣病人服SMS无纺布防水防尘隔离衣短袖分体式套装防护,زي عزل SMS للاستخدام الواحد,Isolation Coverall,隔离服,,Protective Clothing & Surgical Gowns,防护服/手术衣类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-prot-03.webp,hidden
mj-prot-04,Lab Coat,一次性白大褂工作服无纺布实验服隔离防护服参观服食品厂餐饮药房,معطف مختبر غير منسوج للاستخدام الواحد,Lab Coat,实验服,,Protective Clothing & Surgical Gowns,防护服/手术衣类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-prot-04.webp,hidden
mj-prot-05,Nonwoven Protective Suit,一次性防尘服无纺布反穿式防尘透气车间养殖畜牧防护隔离服,زي واقي من الغبار غير منسوج,Nonwoven Protective Suit,无纺布防护服,,Protective Clothing & Surgical Gowns,防护服/手术衣类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-prot-05.webp,hidden
mj-prot-06,Disposable Protective Coverall (One-piece/Split),一次性防护服无纺布连体带帽防水防尘工作服猪场养殖场喷漆隔离衣,زي واقي كامل بغطاء رأس غير منسوج,Disposable Protective Coverall (One-piece/Split),一次性防护服（连体/分体）,,Protective Clothing & Surgical Gowns,防护服/手术衣类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-prot-06.webp,hidden
mj-prot-07,Medical Protective Suit,医用防护服一次性无纺布连体带帽工作服养殖场灭菌无菌,زي واقي طبي معقم كامل بغطاء رأس,Medical Protective Suit,医用防护服,,Protective Clothing & Surgical Gowns,防护服/手术衣类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-prot-07.webp,hidden
mj-prot-08,Medical Protective Suit,医用防护服医护专用一次性隔离衣防尘防疫服透气阻菌全身带帽无菌,زي عزل طبي معقم كامل بغطاء رأس,Medical Protective Suit,医用防护服,,Protective Clothing & Surgical Gowns,防护服/手术衣类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-prot-08.webp,hidden
mj-prot-09,Isolation Coverall,一次性隔离衣无纺布SMS反穿式防水防尘耐撕 防护服全身,زي عزل SMS مخصص للاستخدام الواحد,Isolation Coverall,隔离服,,Protective Clothing & Surgical Gowns,防护服/手术衣类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-prot-09.webp,hidden
mj-prot-10,Disposable Surgical Gown,手术衣独立包装无菌隔离衣SMS无纺布反穿式针织袖口医用防护服,ثوب جراحي SMS معقم بأصفاد محبوكة,Disposable Surgical Gown,一次性手术衣,,Protective Clothing & Surgical Gowns,防护服/手术衣类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-prot-10.webp,hidden
mj-mask-01,KN95 / N95 / FFP2,KN95防护口罩一次性防尘防粉尘防飞沫透气透气舒适,قناع KN95 للاستخدام الواحد,KN95 / N95 / FFP2,KN95 / N95 / FFP2,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-01.webp,hidden
mj-mask-02,KN95 / N95 / FFP2,kn95防护口罩带呼吸阀活性炭防尘口罩防工业粉尘透气立体口罩,قناع KN95 بفتحة تنفس وفحم نشط,KN95 / N95 / FFP2,KN95 / N95 / FFP2,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-02.webp,hidden
mj-mask-03,KN95 / N95 / FFP2,n95医用级口罩灭菌独立包装医用防护口罩械字号成人口罩Sandacare,قناع N95 طبي معقم,KN95 / N95 / FFP2,KN95 / N95 / FFP2,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-03.webp,hidden
mj-mask-04,KN95 / N95 / FFP2,n95口罩医用级灭菌独立包装一次性医用防护口罩械字号成人,قناع N95 طبي معقم للاستخدام الواحد,KN95 / N95 / FFP2,KN95 / N95 / FFP2,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-04.webp,hidden
mj-mask-05,Surgical Mask,一次性医用口罩三层防护平面独立包装医用外科口罩,قناع طبي جراحي ثلاثي الطبقات,Surgical Mask,外科口罩,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-05.webp,hidden
mj-mask-06,Disposable Medical Mask,一次性医用口罩Logo图案独立包装灭菌级透气无菌,قناع طبي مخصص بشعار للاستخدام الواحد,Disposable Medical Mask,一次性医用口罩,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-06.webp,hidden
mj-mask-07,Disposable Medical Mask,一次性医用口罩蓝色黑色成人三层防护防尘抗菌医用级口罩,قناع طبي ثلاثي الطبقات للبالغين,Disposable Medical Mask,一次性医用口罩,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-07.webp,hidden
mj-mask-08,Surgical Mask,一次性医用外科口罩独立包装灭菌级械字号级防护便携,قناع جراحي معقم للاستخدام الواحد,Surgical Mask,外科口罩,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-08.webp,hidden
mj-mask-09,Disposable Medical Mask,一次性口罩三层广告创意独立包装颜色图案logo定位印花口罩定 制,قناع مخصص بطباعة ثلاثية الطبقات,Disposable Medical Mask,一次性医用口罩,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-09.webp,hidden
mj-mask-10,Disposable Medical Mask,一次性口罩三层防护独立包装广告创意图案logo定位印花口罩,قناع مخصص بشعار ثلاثي الطبقات,Disposable Medical Mask,一次性医用口罩,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-10.webp,hidden
mj-mask-11,3-Ply / 4-Ply Mask,一次性口罩四层活性炭防尘去异味电子厂无纺布防护工厂防尘口罩,قناع بأربع طبقات وفحم نشط,3-Ply / 4-Ply Mask,三层/四层口罩,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-11.webp,hidden
mj-mask-12,3-Ply / 4-Ply Mask,一次性口罩独立包装防尘透气含熔喷三层防护活性炭口罩,قناع ثلاثي الطبقات بفحم نشط,3-Ply / 4-Ply Mask,三层/四层口罩,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-12.webp,hidden
mj-mask-13,3-Ply / 4-Ply Mask,一次性口罩独立包装防尘透气含熔喷三层防护活性炭口罩,قناع ثلاثي الطبقات بفحم نشط,3-Ply / 4-Ply Mask,三层/四层口罩,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-13.webp,hidden
mj-mask-14,Nonwoven Mask,一次性防晒口罩女防紫外线玻尿酸高颜值3d立体显瘦2026新款成人男,قناع شمسي ثلاثي الأبعاد للنساء,Nonwoven Mask,无纺布口罩,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-14.webp,hidden
mj-mask-15,Surgical Mask,医用外科一次性口罩独立包装械字号灭菌级高效防护级医用防护,قناع جراحي معقم عالي الحماية,Surgical Mask,外科口罩,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-15.webp,hidden
mj-mask-16,Kids Mask,医用外科儿童口罩3D一次性幼童中童灭菌级卡通印花口罩儿童,قناع جراحي ثلاثي الأبعاد للأطفال,Kids Mask,儿童口罩,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-16.webp,hidden
mj-mask-17,Kids Mask,医用外科儿童口罩3D一次性独立包装透气中童灭菌级无菌,قناع جراحي ثلاثي الأبعاد معقم للأطفال,Kids Mask,儿童口罩,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-17.webp,hidden
mj-mask-18,Surgical Mask,医用外科口罩一次性口罩医用级独立包装灭菌级械字号高效防护亲肤,قناع جراحي طبي معقم عالي الحماية,Surgical Mask,外科口罩,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-18.webp,hidden
mj-mask-19,3-Ply / 4-Ply Mask,口罩一次性独立包装防尘透气含熔喷三层防护活性炭医用,قناع طبي ثلاثي الطبقات بفحم نشط,3-Ply / 4-Ply Mask,三层/四层口罩,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-19.webp,hidden
mj-mask-20,3-Ply / 4-Ply Mask,口罩一次性独立包装防尘透气含熔喷三层防护活性炭口罩,قناع ثلاثي الطبقات بفحم نشط,3-Ply / 4-Ply Mask,三层/四层口罩,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-20.webp,hidden
mj-mask-21,Disposable Medical Mask,口罩医用级哪吒拉布布labubu苏超卡皮巴拉HelloKitty印logo便携,قناع طبي مخصص بشخصيات كرتونية,Disposable Medical Mask,一次性医用口罩,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-21.webp,hidden
mj-mask-22,Disposable Medical Mask,潮款口罩定 制医用级独立包装印logo印字印图案企业餐饮活动DIY,قناع مخصص بشعار للشركات والفعاليات,Disposable Medical Mask,一次性医用口罩,,Masks,口罩类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-mask-22.webp,hidden
mj-cap-01,Disposable Hood,一次性浴帽保鲜碗套加大防水宾馆洗澡帽厨房防油烟帽子头套加厚,قبعة استحمام بلاستيكية للاستخدام الواحد,Disposable Hood,一次性头套,,Caps & Head Covers,帽/头套类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-cap-01.webp,hidden
mj-apron-01,Disposable Sleeve Protector,一次性袖套PE加厚防污套袖防水防油塑料袖套厨房家用工厂养殖场,أكمام واقية PE للاستخدام الواحد,Disposable Sleeve Protector,一次性袖套,,Aprons & Sleeve Protectors,围裙/袖套类,,Non-woven medical consumables | Material/weight to be confirmed | Specifications to be confirmed | Certification (CE/SFDA) to be confirmed | Saudi Arabia market,无纺布医疗耗材|材质/克重待补充|规格待补充|认证(CE/SFDA)待补充|沙特市场,أقمشة غير منسوجة للمستلزمات الطبية | الخامة/الوزن بالجرام قيد الاستكمال | المقاسات قيد الاستكمال | الشهادات (CE/SFDA) قيد الاستكمال | السوق السعودي,1,,,,,,,,images/mj-apron-01.webp,hidden
